id,shipment,time,temperature °C,battery,latitude,longitude,device,createdon,type,alerts
989499,821(8),2017-02-14 23:31,0.6,4093,-33.926349,150.878746,"354430070008215",2017-02-14 23:40,Stop,
989500,821(8),2017-02-14 23:35,0.6,4093,-33.926427,150.87894,"354430070008215",2017-02-14 23:40,Reading,
989528,821(8),2017-02-14 23:45,0.6,4092,-33.92606,150.874216,"354430070008215",2017-02-14 23:57,Moving,
989529,821(8),2017-02-14 23:45,0.6,4092,-33.926306,150.874131,"354430070008215",2017-02-14 23:57,Reading,
989530,821(8),2017-02-14 23:55,0.6,4092,-34.028275,150.825231,"354430070008215",2017-02-14 23:57,Reading,
989563,821(8),2017-02-15 00:05,0.6,4092,-34.172782,150.780286,"354430070008215",2017-02-15 00:12,Reading,
989593,821(8),2017-02-15 00:15,0.8,4092,-34.246575,150.61346,"354430070008215",2017-02-15 00:29,Reading,
989594,821(8),2017-02-15 00:25,0.8,4092,-34.392791,150.517603,"354430070008215",2017-02-15 00:29,Reading,
989622,821(8),2017-02-15 00:36,1.0,4092,-34.436088,150.433259,"354430070008215",2017-02-15 00:45,Reading,
989649,821(8),2017-02-15 00:45,1.0,4089,-34.511998,150.304484,"354430070008215",2017-02-15 01:01,Reading,
989650,821(8),2017-02-15 00:55,1.0,4092,-34.651137,150.129258,"354430070008215",2017-02-15 01:01,Reading,
989681,821(8),2017-02-15 01:05,0.9,4091,-34.701775,150.029612,"354430070008215",2017-02-15 01:18,Reading,
989683,821(8),2017-02-15 01:15,0.9,4091,-34.734771,149.85332,"354430070008215",2017-02-15 01:18,Reading,
989707,821(8),2017-02-15 01:25,0.8,4092,-34.790497,149.707981,"354430070008215",2017-02-15 01:35,Reading,
989736,821(8),2017-02-15 01:36,0.8,4086,-34.732295,149.481763,"354430070008215",2017-02-15 01:52,Reading,
989737,821(8),2017-02-15 01:45,0.6,4092,-34.789118,149.317182,"354430070008215",2017-02-15 01:52,Reading,
989768,821(8),2017-02-15 01:55,0.8,4087,-34.820661,149.215317,"354430070008215",2017-02-15 02:09,Reading,
989769,821(8),2017-02-15 02:05,0.6,4092,-34.775342,149.002517,"354430070008215",2017-02-15 02:09,Reading,
989801,821(8),2017-02-15 02:15,0.6,4087,-34.855115,148.943589,"354430070008215",2017-02-15 02:26,Reading,
989803,821(8),2017-02-15 02:25,0.6,4087,-34.733875,148.718734,"354430070008215",2017-02-15 02:26,Reading,
989835,821(8),2017-02-15 02:35,0.6,4090,-34.779482,148.599441,"354430070008215",2017-02-15 02:43,Reading,
989857,821(8),2017-02-15 02:45,0.6,4087,-34.824074,148.357773,"354430070008215",2017-02-15 03:00,Reading,
989858,821(8),2017-02-15 02:55,0.5,4087,-34.82999,148.336416,"354430070008215",2017-02-15 03:00,Reading,
989895,821(8),2017-02-15 03:05,0.5,4087,-34.944117,148.164575,"354430070008215",2017-02-15 03:17,Reading,
989896,821(8),2017-02-15 03:15,0.5,4087,-35.093268,148.075712,"354430070008215",2017-02-15 03:17,Reading,
990003,821(8),2017-02-15 03:25,0.5,4086,-35.140904,147.953064,"354430070008215",2017-02-15 03:33,Reading,
990042,821(8),2017-02-15 03:35,0.5,4086,-35.177227,147.859147,"354430070008215",2017-02-15 03:51,Reading,
990043,821(8),2017-02-15 03:45,0.5,4086,-35.278889,147.743926,"354430070008215",2017-02-15 03:51,Stop,
990044,821(8),2017-02-15 03:45,0.5,4086,-35.278889,147.743926,"354430070008215",2017-02-15 03:51,Reading,
990074,821(8),2017-02-15 03:55,0.5,4086,-35.278889,147.743926,"354430070008215",2017-02-15 04:09,Reading,
990075,821(8),2017-02-15 04:05,0.5,4086,-35.278889,147.743926,"354430070008215",2017-02-15 04:09,Reading,
990103,821(8),2017-02-15 04:15,0.5,4086,-35.278889,147.743926,"354430070008215",2017-02-15 04:27,Reading,
990104,821(8),2017-02-15 04:25,0.5,4086,-35.278889,147.743926,"354430070008215",2017-02-15 04:27,Reading,
990135,821(8),2017-02-15 04:35,0.5,4086,-35.297607,147.701676,"354430070008215",2017-02-15 04:45,Moving,
990136,821(8),2017-02-15 04:35,0.5,4086,-35.282442,147.732059,"354430070008215",2017-02-15 04:45,Reading,
990137,821(8),2017-02-15 04:38,0.5,4086,-35.278889,147.743926,"354430070008215",2017-02-15 04:45,Stop,
990138,821(8),2017-02-15 04:41,0.4,4086,-35.278889,147.743926,"354430070008215",2017-02-15 04:45,Moving,
990169,821(8),2017-02-15 04:45,0.5,4086,-35.304289,147.68731,"354430070008215",2017-02-15 05:02,Reading,
990171,821(8),2017-02-15 04:55,0.4,4085,-35.397558,147.613206,"354430070008215",2017-02-15 05:02,Reading,
990198,821(8),2017-02-15 05:05,0.5,4085,-35.539475,147.524849,"354430070008215",2017-02-15 05:19,Reading,
990199,821(8),2017-02-15 05:15,0.4,4085,-35.447485,147.538728,"354430070008215",2017-02-15 05:19,Reading,
990236,821(8),2017-02-15 05:25,0.5,4086,-35.69883,147.284717,"354430070008215",2017-02-15 05:37,Reading,
990237,821(8),2017-02-15 05:35,0.4,4086,-35.818312,147.078801,"354430070008215",2017-02-15 05:37,Reading,
990265,821(8),2017-02-15 05:45,0.5,4086,-35.923639,147.047666,"354430070008215",2017-02-15 05:54,Reading,
990296,821(8),2017-02-15 05:55,0.5,4086,-36.043109,146.959028,"354430070008215",2017-02-15 06:10,Reading,
990297,821(8),2017-02-15 06:05,0.5,4084,-36.100257,146.831569,"354430070008215",2017-02-15 06:10,Reading,
990346,821(8),2017-02-15 06:15,0.5,4084,-36.17813,146.68987,"354430070008215",2017-02-15 06:27,Reading,
990348,821(8),2017-02-15 06:25,0.5,4082,-36.109709,146.50319,"354430070008215",2017-02-15 06:27,Reading,
990383,821(8),2017-02-15 06:35,0.5,4080,-36.236992,146.417131,"354430070008215",2017-02-15 06:44,Reading,
990414,821(8),2017-02-15 06:45,0.8,4081,-36.347681,146.396861,"354430070008215",2017-02-15 07:00,Reading,
990415,821(8),2017-02-15 06:55,0.8,4082,-36.392328,146.283207,"354430070008215",2017-02-15 07:00,Reading,
990455,821(8),2017-02-15 07:05,0.6,4082,-36.525215,146.071284,"354430070008215",2017-02-15 07:17,Reading,
990456,821(8),2017-02-15 07:15,0.6,4082,-36.602051,145.871277,"354430070008215",2017-02-15 07:17,Reading,
990491,821(8),2017-02-15 07:25,0.6,4081,-36.604466,145.821309,"354430070008215",2017-02-15 07:34,Reading,
990525,821(8),2017-02-15 07:35,0.5,4081,-36.742249,145.592013,"354430070008215",2017-02-15 07:51,Reading,
990527,821(8),2017-02-15 07:45,0.5,4084,-36.811618,145.438541,"354430070008215",2017-02-15 07:51,Reading,
990549,821(8),2017-02-15 07:55,0.5,4081,-36.846026,145.264739,"354430070008215",2017-02-15 08:08,Reading,
990551,821(8),2017-02-15 08:05,0.5,4078,-36.970981,145.146259,"354430070008215",2017-02-15 08:08,Reading,
990583,821(8),2017-02-15 08:15,0.5,4081,-37.081643,145.098665,"354430070008215",2017-02-15 08:24,Reading,
990615,821(8),2017-02-15 08:25,0.5,4081,-37.205897,145.039502,"354430070008215",2017-02-15 08:41,Reading,
990617,821(8),2017-02-15 08:35,0.5,4081,-37.390672,145.011904,"354430070008215",2017-02-15 08:41,Reading,
990619,821(8),2017-02-15 08:39,0.5,4081,-37.411297,144.996557,"354430070008215",2017-02-15 08:41,Stop,
990658,821(8),2017-02-15 08:45,0.5,4081,-37.411234,144.996498,"354430070008215",2017-02-15 08:58,Reading,
990659,821(8),2017-02-15 08:53,0.5,4081,-37.409896,144.997668,"354430070008215",2017-02-15 08:58,Moving,
990660,821(8),2017-02-15 08:55,0.4,4080,-37.412468,144.989844,"354430070008215",2017-02-15 08:58,Reading,
990703,821(8),2017-02-15 09:05,0.5,4081,-37.549069,144.957613,"354430070008215",2017-02-15 09:14,Reading,
990741,821(8),2017-02-15 09:15,0.5,4081,-37.692154,144.982164,"354430070008215",2017-02-15 09:30,Reading,
990742,821(8),2017-02-15 09:25,0.5,4080,-37.732496,144.851091,"354430070008215",2017-02-15 09:30,Reading,
990776,821(8),2017-02-15 09:35,0.6,4081,-37.795913,144.803109,"354430070008215",2017-02-15 09:45,Reading,
990777,821(8),2017-02-15 09:41,0.6,4081,-37.821193,144.772085,"354430070008215",2017-02-15 09:45,Stop,
990778,821(8),2017-02-15 09:45,0.6,4081,-37.809636,144.781734,"354430070008215",2017-02-15 09:45,Reading,
990810,821(8),2017-02-15 09:55,0.6,4081,-37.817149,144.770889,"354430070008215",2017-02-15 10:02,Reading,
990849,821(8),2017-02-15 10:05,0.8,4081,-37.822928,144.761266,"354430070008215",2017-02-15 10:19,Reading,
990850,821(8),2017-02-15 10:15,0.9,4081,-37.821523,144.762518,"354430070008215",2017-02-15 10:19,Reading,
990884,821(8),2017-02-15 10:25,1.0,4077,-37.825144,144.762318,"354430070008215",2017-02-15 10:37,Reading,
990886,821(8),2017-02-15 10:35,1.1,4080,-37.821848,144.764267,"354430070008215",2017-02-15 10:37,Reading,
990938,821(8),2017-02-15 10:45,1.2,4077,-37.817124,144.77471,"354430070008215",2017-02-15 10:54,Reading,
990979,821(8),2017-02-15 10:55,1.4,4079,-37.817871,144.766767,"354430070008215",2017-02-15 11:12,Reading,
990980,821(8),2017-02-15 11:05,1.5,4080,-37.822725,144.761651,"354430070008215",2017-02-15 11:12,Reading,
991015,821(8),2017-02-15 11:15,1.8,4080,-37.822355,144.760609,"354430070008215",2017-02-15 11:29,Reading,
991016,821(8),2017-02-15 11:25,1.9,4078,-37.820935,144.763424,"354430070008215",2017-02-15 11:29,Reading,
